MiB,numfiles,delay,N,fpt,run,seconds
10,1,50,1,1,5,3.473365545272827
10,1,50,1,3,1,3.482494831085205
10,1,50,1,3,2,3.4834067821502686
10,1,50,1,3,3,3.499319553375244
10,1,50,1,3,4,3.4957339763641357
10,1,50,1,3,5,3.480494976043701
10,1,50,2,1,1,4.487378358840942
10,1,50,2,1,2,4.494884014129639
10,1,50,2,1,3,4.485772609710693
10,1,50,2,1,4,4.523306369781494
10,1,50,2,1,5,4.488243341445923
10,1,50,2,3,1,4.482921600341797
10,1,50,2,3,2,4.497485399246216
10,1,50,2,3,3,4.500198602676392
10,1,50,2,3,4,4.479053974151611
10,1,50,2,3,5,4.4912497997283936
10,1,50,3,1,1,4.483182430267334
10,1,50,3,1,2,4.499220371246338
10,1,50,3,1,3,4.50550651550293
10,1,50,3,1,4,4.4765236377716064
10,1,50,3,1,5,4.500183820724487
10,1,50,3,3,1,4.47380805015564
10,1,50,3,3,2,4.480770111083984
10,1,50,3,3,3,4.494452238082886
10,1,50,3,3,4,4.505028247833252
10,1,50,3,3,5,4.48492431640625
10,1,50,4,1,1,4.490625381469727
